,Team1,Team2,Spread1,Spread2,Win1,Win2,Total1,Total2,DateTime
0,KT Rolster,Gen.G,+1.5 (+110),-1.5 (-145),+370,-600,O2.5 (+150),U2.5 (-200),2024-02-14 03:00:00
1,DRX,Kwangdong Freecs,+1.5 (-190),-1.5 (+145),+165,-218,O2.5 (+105),U2.5 (-135),2024-02-14 05:30:00
2,T1,Dplus KIA,-1.5 (-125),+1.5 (-105),-475,+330,O2.5 (+135),U2.5 (-175),2024-02-15 03:00:00
3,Hanwha Life Esports,BRION,-1.5 (-350),+1.5 (+250),-2800,+900,O2.5 (+280),U2.5 (-410),2024-02-15 05:30:00
4,Fury Global,Ground Zero,+1.5 (+165),-1.5 (-220),+800,-1800,,,2024-02-13 02:00:00
5,Kanga,Team Bliss,,,+240,-350,,,2024-02-13 04:00:00
6,Aegis,BKROG,,,-220,+165,,,2024-02-14 12:00:00
7,Vitality.Bee,Solary,,,-240,+180,,,2024-02-14 13:00:00
8,Karmine Corp Academy,GameWard,,,+128,-170,,,2024-02-14 14:00:00
9,GO,Gentle Mates,,,-310,+220,,,2024-02-14 15:00:00
10,Team BDS Academy,Team du Sud,+1.5 (-145),-1.5 (+110),+205,-285,O2.5 (+115),U2.5 (-150),2024-02-14 16:00:00
11,Leviatan,Isurus,+1.5 (+210),-1.5 (-285),+725,-1600,O2.5 (+230),U2.5 (-325),2024-02-13 17:00:00
12,Infinity Gaming,Estral E-Sports,,,+145,-200,,,2024-02-13 19:00:00
13,Case Esports,Movistar Riders,,,+165,-220,,,2024-02-14 12:00:00
14,Guasones Team,Ramboot Club,,,+175,-230,,,2024-02-14 12:00:00
15,Zeta Gaming,Barca eSports,,,-350,+240,,,2024-02-14 13:00:00
16,Los Heretics,Rebels Gaming,,,+220,-300,,,2024-02-14 15:00:00
